"","day","total","A","B","C","AA","AB","AC","BA","BB","CA"
"1190","2009-04-04",19,14,5,0,9,4,1,2,3,0
"1191","2009-04-05",27,9,11,7,3,5,1,4,7,7
"1192","2009-04-06",20,7,10,3,2,5,0,5,5,3
"1193","2009-04-07",26,8,14,4,3,4,1,6,8,4
"1194","2009-04-08",13,5,7,1,2,1,2,1,6,1
"1195","2009-04-09",25,9,14,2,7,1,1,7,7,2
"1196","2009-04-10",15,12,3,0,4,4,4,3,0,0
"1197","2009-04-11",32,17,13,2,9,5,3,9,4,2
"1198","2009-04-12",20,9,9,2,5,2,2,2,7,2
"1199","2009-04-13",20,9,9,2,3,5,1,3,6,2
"1200","2009-04-14",21,7,13,1,3,3,1,9,4,1
"1201","2009-04-15",26,13,12,1,6,4,3,8,4,1
"1202","2009-04-16",16,10,4,2,4,3,3,3,1,2
"1203","2009-04-17",19,12,6,1,5,3,4,3,3,1
"1204","2009-04-18",22,10,11,1,5,3,2,6,5,1
"1205","2009-04-19",17,10,7,0,4,4,2,3,4,0
"1206","2009-04-20",23,11,9,3,3,8,0,7,2,3
"1207","2009-04-21",17,11,5,1,4,4,3,3,2,1
"1208","2009-04-22",17,10,5,2,6,1,3,2,3,2
"1209","2009-04-23",19,10,6,3,4,5,1,3,3,3
"1210","2009-04-24",22,11,8,3,7,2,2,4,4,3
"1211","2009-04-25",14,9,4,1,6,1,2,2,2,1
"1212","2009-04-26",21,9,11,1,3,2,4,7,4,1
"1213","2009-04-27",29,19,8,2,10,5,4,1,7,2
"1214","2009-04-28",13,4,5,4,2,1,1,1,4,4
"1215","2009-04-29",14,11,2,1,3,5,3,1,1,1
"1216","2009-04-30",24,14,6,4,6,6,2,3,3,4
"1217","2009-05-01",12,5,5,2,1,4,0,3,2,2
"1218","2009-05-02",20,9,9,2,2,2,5,6,3,2
"1219","2009-05-03",23,13,7,3,2,11,0,5,2,3
"1220","2009-05-04",24,15,9,0,6,6,3,3,6,0
"1221","2009-05-05",14,5,8,1,2,2,1,3,5,1
"1222","2009-05-06",16,6,8,2,1,2,3,4,4,2
"1223","2009-05-07",22,11,8,3,8,2,1,6,2,3
"1224","2009-05-08",14,9,3,2,4,4,1,2,1,2
"1225","2009-05-09",24,10,12,2,6,4,0,6,6,2
"1226","2009-05-10",26,14,11,1,5,4,5,7,4,1
"1227","2009-05-11",25,14,8,3,2,8,4,3,5,3
"1228","2009-05-12",22,13,8,1,6,7,0,5,3,1
"1229","2009-05-13",19,7,11,1,4,1,2,5,6,1
"1230","2009-05-14",25,15,9,1,8,3,4,4,5,1
"1231","2009-05-15",15,6,8,1,2,3,1,4,4,1
"1232","2009-05-16",19,12,7,0,5,3,4,3,4,0
"1233","2009-05-17",21,10,8,3,3,2,5,5,3,3
"1234","2009-05-18",20,5,15,0,3,2,0,10,5,0
"1235","2009-05-19",22,10,9,3,4,3,3,4,5,3
"1236","2009-05-20",18,8,9,1,4,4,0,4,5,1
"1237","2009-05-21",23,11,7,5,8,3,0,4,3,5
"1238","2009-05-22",18,11,5,2,4,5,2,3,2,2
"1239","2009-05-23",19,7,10,2,2,5,0,4,6,2
"1240","2009-05-24",22,10,11,1,6,4,0,5,6,1
"1241","2009-05-25",22,10,10,2,4,5,1,6,4,2
"1242","2009-05-26",18,11,6,1,5,4,2,5,1,1
"1243","2009-05-27",18,7,6,5,2,4,1,2,4,5
"1244","2009-05-28",17,5,9,3,4,1,0,7,2,3
"1245","2009-05-29",26,19,7,0,11,6,2,3,4,0
"1246","2009-05-30",15,8,5,2,3,4,1,3,2,2
"1247","2009-05-31",24,12,10,2,5,5,2,5,5,2
"1248","2009-06-01",22,9,11,2,4,4,1,7,4,2
"1249","2009-06-02",20,13,4,3,4,6,3,1,3,3
"1250","2009-06-03",27,13,11,3,4,7,2,6,5,3
"1251","2009-06-04",21,10,11,0,3,6,1,7,4,0
"1252","2009-06-05",19,12,6,1,6,4,2,3,3,1
"1253","2009-06-06",28,15,11,2,9,5,1,4,7,2
"1254","2009-06-07",18,10,7,1,6,4,0,4,3,1
"1255","2009-06-08",23,12,10,1,7,4,1,5,5,1
"1256","2009-06-09",22,13,6,3,6,4,3,4,2,3
"1257","2009-06-10",17,9,6,2,5,3,1,4,2,2
"1258","2009-06-11",20,14,5,1,1,6,7,1,4,1
"1259","2009-06-12",23,12,9,2,2,9,1,3,6,2
"1260","2009-06-13",29,18,10,1,8,7,3,6,4,1
"1261","2009-06-14",22,10,10,2,5,4,1,5,5,2
"1262","2009-06-15",25,9,11,5,4,3,2,7,4,5
"1263","2009-06-16",15,3,8,4,1,2,0,5,3,4
"1264","2009-06-17",24,10,11,3,8,2,0,4,7,3
"1265","2009-06-18",25,16,7,2,4,7,5,2,5,2
"1266","2009-06-19",20,14,6,0,5,6,3,2,4,0
"1267","2009-06-20",24,11,12,1,6,4,1,4,8,1
"1268","2009-06-21",25,11,11,3,5,4,2,4,7,3
"1269","2009-06-22",16,7,9,0,2,4,1,4,5,0
"1270","2009-06-23",27,10,16,1,5,5,0,9,7,1
"1271","2009-06-24",32,13,11,8,6,5,2,7,4,8
"1272","2009-06-25",24,13,8,3,3,6,4,6,2,3
"1273","2009-06-26",14,4,7,3,4,0,0,3,4,3
"1274","2009-06-27",18,11,6,1,7,1,3,2,4,1
"1275","2009-06-28",24,9,7,8,2,4,3,5,2,8
"1276","2009-06-29",25,14,8,3,6,3,5,4,4,3
"1277","2009-06-30",27,12,11,4,7,4,1,7,4,4
"1278","2009-07-01",19,9,8,2,5,3,1,5,3,2
"1279","2009-07-02",14,8,6,0,2,3,3,4,2,0
"1280","2009-07-03",18,11,7,0,7,2,2,1,6,0
"1281","2009-07-04",21,10,9,2,4,3,3,5,4,2
"1282","2009-07-05",23,9,10,4,5,3,1,4,6,4
"1283","2009-07-06",19,8,9,2,4,2,2,5,4,2
"1284","2009-07-07",12,6,5,1,3,2,1,2,3,1
"1285","2009-07-08",24,14,9,1,8,6,0,5,4,1
"1286","2009-07-09",25,8,13,4,6,1,1,7,6,4
"1287","2009-07-10",19,11,5,3,3,3,5,1,4,3
"1288","2009-07-11",16,8,6,2,5,2,1,6,0,2
"1289","2009-07-12",17,8,7,2,4,2,2,5,2,2
"1290","2009-07-13",29,15,9,5,3,9,3,6,3,5
"1291","2009-07-14",15,10,4,1,4,5,1,1,3,1
"1292","2009-07-15",20,9,10,1,5,1,3,4,6,1
"1293","2009-07-16",25,10,11,4,5,4,1,6,5,4
"1294","2009-07-17",20,6,10,4,3,2,1,3,7,4
"1295","2009-07-18",27,12,11,4,5,4,3,5,6,4
"1296","2009-07-19",16,8,6,2,3,5,0,3,3,2
"1297","2009-07-20",18,10,7,1,3,7,0,5,2,1
"1298","2009-07-21",19,8,9,2,3,4,1,4,5,2
"1299","2009-07-22",27,16,9,2,2,11,3,3,6,2
"1300","2009-07-23",23,11,11,1,2,5,4,7,4,1
"1301","2009-07-24",17,10,7,0,4,6,0,4,3,0
"1302","2009-07-25",18,7,9,2,4,1,2,4,5,2
"1303","2009-07-26",16,10,4,2,7,3,0,3,1,2
"1304","2009-07-27",23,13,9,1,9,2,2,3,6,1
"1305","2009-07-28",27,16,7,4,8,7,1,4,3,4
"1306","2009-07-29",27,13,12,2,6,5,2,7,5,2
"1307","2009-07-30",21,11,6,4,4,7,0,2,4,4
"1308","2009-07-31",23,14,5,4,6,6,2,4,1,4
"1309","2009-08-01",23,11,10,2,8,2,1,4,6,2
"1310","2009-08-02",25,14,11,0,8,4,2,7,4,0
"1311","2009-08-03",24,16,7,1,7,6,3,3,4,1
"1312","2009-08-04",20,9,8,3,2,3,4,2,6,3
"1313","2009-08-05",23,11,9,3,5,3,3,4,5,3
"1314","2009-08-06",16,8,7,1,3,2,3,5,2,1
"1315","2009-08-07",19,6,8,5,2,3,1,5,3,5
"1316","2009-08-08",22,13,6,3,7,4,2,4,2,3
"1317","2009-08-09",24,13,10,1,7,3,3,6,4,1
"1318","2009-08-10",28,12,12,4,4,5,3,8,4,4
"1319","2009-08-11",32,17,13,2,4,12,1,7,6,2
"1320","2009-08-12",21,14,7,0,7,5,2,5,2,0
"1321","2009-08-13",30,17,9,4,4,9,4,4,5,4
"1322","2009-08-14",21,14,7,0,3,6,5,3,4,0
"1323","2009-08-15",9,6,1,2,3,1,2,1,0,2
"1324","2009-08-16",19,8,8,3,2,3,3,3,5,3
"1325","2009-08-17",26,15,11,0,7,6,2,5,6,0
"1326","2009-08-18",18,9,7,2,3,6,0,3,4,2
"1327","2009-08-19",20,12,7,1,5,5,2,2,5,1
"1328","2009-08-20",16,8,6,2,2,3,3,1,5,2
"1329","2009-08-21",21,11,8,2,3,7,1,6,2,2
"1330","2009-08-22",21,9,9,3,2,4,3,5,4,3
"1331","2009-08-23",17,10,6,1,7,2,1,4,2,1
"1332","2009-08-24",25,16,9,0,5,7,4,4,5,0
"1333","2009-08-25",21,11,8,2,5,4,2,1,7,2
"1334","2009-08-26",21,14,5,2,4,6,4,2,3,2
"1335","2009-08-27",25,14,11,0,8,5,1,6,5,0
"1336","2009-08-28",21,13,8,0,5,4,4,3,5,0
"1337","2009-08-29",21,11,8,2,2,8,1,2,6,2
"1338","2009-08-30",23,10,12,1,5,3,2,6,6,1
"1339","2009-08-31",20,8,11,1,3,4,1,9,2,1
"1340","2009-09-01",19,8,8,3,2,5,1,2,6,3
"1341","2009-09-02",20,10,7,3,5,2,3,3,4,3
"1342","2009-09-03",23,11,9,3,5,2,4,6,3,3
"1343","2009-09-04",20,9,11,0,1,4,4,6,5,0
"1344","2009-09-05",19,12,3,4,4,4,4,2,1,4
"1345","2009-09-06",12,5,5,2,2,2,1,4,1,2
"1346","2009-09-07",22,13,7,2,6,3,4,6,1,2
"1347","2009-09-08",21,10,9,2,3,4,3,7,2,2
"1348","2009-09-09",25,11,10,4,5,6,0,4,6,4
"1349","2009-09-10",12,9,2,1,3,3,3,1,1,1
"1350","2009-09-11",14,6,5,3,3,2,1,0,5,3
"1351","2009-09-12",17,9,5,3,3,5,1,5,0,3
"1352","2009-09-13",21,7,10,4,4,2,1,6,4,4
"1353","2009-09-14",25,14,9,2,6,5,3,7,2,2
"1354","2009-09-15",25,15,8,2,3,12,0,3,5,2
"1355","2009-09-16",20,7,10,3,3,2,2,6,4,3
"1356","2009-09-17",21,9,10,2,3,4,2,5,5,2
"1357","2009-09-18",21,9,11,1,3,6,0,3,8,1
"1358","2009-09-19",25,16,6,3,7,6,3,2,4,3
"1359","2009-09-20",27,15,11,1,11,3,1,5,6,1
"1360","2009-09-21",28,9,16,3,6,2,1,11,5,3
"1361","2009-09-22",20,12,5,3,4,5,3,1,4,3
"1362","2009-09-23",28,22,5,1,5,10,7,3,2,1
"1363","2009-09-24",20,12,5,3,4,4,4,3,2,3
"1364","2009-09-25",22,8,10,4,4,3,1,6,4,4
"1365","2009-09-26",21,7,11,3,4,2,1,8,3,3
"1366","2009-09-27",14,9,5,0,4,5,0,1,4,0
"1367","2009-09-28",31,17,13,1,8,6,3,6,7,1
"1368","2009-09-29",22,11,10,1,5,4,2,5,5,1
"1369","2009-09-30",23,13,9,1,3,6,4,6,3,1
"1370","2009-10-01",21,12,6,3,7,4,1,2,4,3
"1371","2009-10-02",22,16,6,0,8,6,2,1,5,0
"1372","2009-10-03",23,13,8,2,5,5,3,5,3,2
"1373","2009-10-04",25,12,7,6,2,6,4,5,2,6
"1374","2009-10-05",23,11,7,5,4,5,2,4,3,5
"1375","2009-10-06",22,14,6,2,4,6,4,4,2,2
"1376","2009-10-07",21,16,4,1,6,5,5,2,2,1
"1377","2009-10-08",21,9,8,4,4,5,0,5,3,4
"1378","2009-10-09",20,11,5,4,6,5,0,2,3,4
"1379","2009-10-10",20,12,8,0,6,5,1,3,5,0
"1380","2009-10-11",24,10,12,2,3,3,4,6,6,2
"1381","2009-10-12",23,13,9,1,4,6,3,4,5,1
"1382","2009-10-13",18,9,9,0,3,5,1,4,5,0
"1383","2009-10-14",25,7,16,2,3,2,2,5,11,2
"1384","2009-10-15",12,3,6,3,0,2,1,2,4,3
"1385","2009-10-16",26,10,11,5,5,4,1,8,3,5
"1386","2009-10-17",19,11,6,2,6,2,3,3,3,2
"1387","2009-10-18",25,9,12,4,0,8,1,7,5,4
"1388","2009-10-19",18,7,10,1,4,1,2,6,4,1
"1389","2009-10-20",22,12,7,3,2,8,2,2,5,3
"1390","2009-10-21",25,14,6,5,3,8,3,2,4,5
"1391","2009-10-22",11,6,3,2,2,3,1,3,0,2
"1392","2009-10-23",31,16,13,2,7,7,2,8,5,2
"1393","2009-10-24",24,14,7,3,9,3,2,4,3,3
"1394","2009-10-25",24,15,6,3,6,7,2,2,4,3
"1395","2009-10-26",19,11,8,0,4,5,2,3,5,0
"1396","2009-10-27",24,11,10,3,3,4,4,6,4,3
"1397","2009-10-28",21,9,7,5,4,4,1,3,4,5
"1398","2009-10-29",18,9,7,2,1,5,3,3,4,2
"1399","2009-10-30",21,13,7,1,6,6,1,4,3,1
"1400","2009-10-31",26,12,12,2,3,6,3,6,6,2
"1401","2009-11-01",15,7,7,1,4,2,1,4,3,1
"1402","2009-11-02",16,8,8,0,3,3,2,6,2,0
"1403","2009-11-03",22,9,8,5,5,3,1,2,6,5
"1404","2009-11-04",21,9,11,1,3,4,2,7,4,1
"1405","2009-11-05",16,7,3,6,2,2,3,1,2,6
"1406","2009-11-06",33,20,12,1,6,7,7,6,6,1
"1407","2009-11-07",22,11,11,0,4,5,2,4,7,0
"1408","2009-11-08",16,7,7,2,2,4,1,3,4,2
"1409","2009-11-09",23,9,13,1,5,2,2,9,4,1
"1410","2009-11-10",18,6,11,1,3,0,3,6,5,1
"1411","2009-11-11",19,13,5,1,5,5,3,1,4,1
"1412","2009-11-12",21,7,12,2,2,4,1,7,5,2
"1413","2009-11-13",22,13,7,2,4,5,4,4,3,2
"1414","2009-11-14",20,9,4,7,4,4,1,1,3,7
"1415","2009-11-15",23,12,6,5,4,4,4,5,1,5
"1416","2009-11-16",18,9,7,2,1,4,4,2,5,2
"1417","2009-11-17",15,2,13,0,0,2,0,5,8,0
"1418","2009-11-18",27,14,9,4,6,2,6,6,3,4
"1419","2009-11-19",18,9,8,1,3,5,1,4,4,1
"1420","2009-11-20",23,9,13,1,3,5,1,6,7,1
"1421","2009-11-21",15,8,6,1,3,4,1,2,4,1
"1422","2009-11-22",12,4,3,5,1,3,0,2,1,5
"1423","2009-11-23",23,10,6,7,5,1,4,3,3,7
"1424","2009-11-24",15,9,5,1,4,4,1,4,1,1
"1425","2009-11-25",19,10,7,2,5,3,2,0,7,2
"1426","2009-11-26",19,11,8,0,4,5,2,5,3,0
"1427","2009-11-27",24,10,13,1,7,2,1,9,4,1
"1428","2009-11-28",23,11,9,3,3,6,2,7,2,3
"1429","2009-11-29",23,13,6,4,7,5,1,3,3,4
"1430","2009-11-30",22,10,11,1,2,5,3,6,5,1
"1431","2009-12-01",19,9,9,1,4,5,0,3,6,1
"1432","2009-12-02",21,11,9,1,3,5,3,3,6,1
"1433","2009-12-03",24,8,11,5,5,2,1,4,7,5
"1434","2009-12-04",12,5,6,1,3,2,0,5,1,1
"1435","2009-12-05",30,18,11,1,7,9,2,8,3,1
"1436","2009-12-06",25,14,10,1,8,4,2,8,2,1
"1437","2009-12-07",25,10,12,3,4,2,4,5,7,3
"1438","2009-12-08",18,9,7,2,3,5,1,5,2,2
"1439","2009-12-09",16,7,7,2,2,2,3,5,2,2
"1440","2009-12-10",17,6,10,1,1,4,1,5,5,1
"1441","2009-12-11",24,11,12,1,4,5,2,9,3,1
"1442","2009-12-12",20,10,10,0,5,4,1,6,4,0
"1443","2009-12-13",21,13,6,2,5,6,2,3,3,2
"1444","2009-12-14",19,7,10,2,3,3,1,2,8,2
"1445","2009-12-15",16,8,6,2,3,5,0,4,2,2
"1446","2009-12-16",16,9,7,0,4,3,2,3,4,0
"1447","2009-12-17",27,9,12,6,4,4,1,5,7,6
"1448","2009-12-18",15,9,5,1,1,4,4,2,3,1
"1449","2009-12-19",23,12,8,3,7,4,1,7,1,3
"1450","2009-12-20",22,10,9,3,2,3,5,2,7,3
"1451","2009-12-21",20,7,11,2,2,5,0,4,7,2
"1452","2009-12-22",24,15,6,3,7,6,2,4,2,3
"1453","2009-12-23",23,10,9,4,3,5,2,6,3,4
"1454","2009-12-24",26,13,11,2,5,8,0,5,6,2
"1455","2009-12-25",19,8,8,3,5,2,1,5,3,3
"1456","2009-12-26",15,8,5,2,3,3,2,4,1,2
"1457","2009-12-27",28,18,7,3,5,9,4,7,0,3
"1458","2009-12-28",21,9,10,2,5,3,1,8,2,2
"1459","2009-12-29",30,18,9,3,7,7,4,5,4,3
"1460","2009-12-30",19,12,6,1,6,5,1,2,4,1
"1461","2009-12-31",34,13,11,10,7,5,1,5,6,10
"1462","2010-01-01",16,7,7,2,3,3,1,5,2,2
"1463","2010-01-02",25,10,15,0,5,2,3,6,9,0
"1464","2010-01-03",21,10,9,2,4,3,3,5,4,2
"1465","2010-01-04",29,16,12,1,5,9,2,6,6,1
"1466","2010-01-05",23,13,8,2,7,3,3,4,4,2
"1467","2010-01-06",21,14,7,0,7,2,5,2,5,0
"1468","2010-01-07",23,14,5,4,3,10,1,3,2,4
"1469","2010-01-08",23,11,9,3,3,6,2,7,2,3
"1470","2010-01-09",19,6,10,3,2,2,2,5,5,3
"1471","2010-01-10",13,7,5,1,3,2,2,4,1,1
"1472","2010-01-11",24,10,13,1,3,4,3,1,12,1
"1473","2010-01-12",17,9,6,2,3,2,4,2,4,2
"1474","2010-01-13",15,8,6,1,4,2,2,3,3,1
"1475","2010-01-14",27,16,10,1,7,5,4,6,4,1
"1476","2010-01-15",26,12,12,2,6,4,2,6,6,2
"1477","2010-01-16",22,13,7,2,4,7,2,4,3,2
"1478","2010-01-17",15,4,8,3,2,0,2,2,6,3
"1479","2010-01-18",12,5,6,1,1,1,3,2,4,1
"1480","2010-01-19",20,10,8,2,4,2,4,4,4,2
"1481","2010-01-20",17,9,7,1,5,3,1,3,4,1
"1482","2010-01-21",21,11,7,3,7,2,2,4,3,3
"1483","2010-01-22",20,9,9,2,2,6,1,6,3,2
"1484","2010-01-23",20,11,7,2,3,1,7,3,4,2
"1485","2010-01-24",17,5,9,3,3,2,0,6,3,3
"1486","2010-01-25",23,9,12,2,4,5,0,8,4,2
"1487","2010-01-26",28,11,17,0,2,6,3,9,8,0
"1488","2010-01-27",30,13,12,5,5,8,0,6,6,5
"1489","2010-01-28",19,10,7,2,4,3,3,5,2,2
"1490","2010-01-29",25,13,10,2,4,5,4,5,5,2
"1491","2010-01-30",10,2,7,1,1,0,1,4,3,1
"1492","2010-01-31",25,10,12,3,5,4,1,8,4,3
"1493","2010-02-01",22,10,10,2,6,3,1,8,2,2
"1494","2010-02-02",14,10,3,1,1,5,4,2,1,1
"1495","2010-02-03",26,14,12,0,3,8,3,7,5,0
"1496","2010-02-04",17,8,8,1,3,4,1,3,5,1
"1497","2010-02-05",17,6,9,2,4,2,0,6,3,2
"1498","2010-02-06",21,9,10,2,4,1,4,9,1,2
"1499","2010-02-07",19,10,7,2,6,2,2,3,4,2
"1500","2010-02-08",17,8,5,4,3,3,2,4,1,4
"1501","2010-02-09",14,5,7,2,2,2,1,2,5,2
"1502","2010-02-10",26,17,7,2,4,8,5,4,3,2
"1503","2010-02-11",22,10,10,2,1,7,2,6,4,2
"1504","2010-02-12",24,7,14,3,3,3,1,8,6,3
"1505","2010-02-13",17,8,7,2,4,2,2,2,5,2
"1506","2010-02-14",21,11,8,2,4,6,1,2,6,2
"1507","2010-02-15",19,8,10,1,3,5,0,4,6,1
"1508","2010-02-16",23,14,7,2,4,8,2,5,2,2
"1509","2010-02-17",21,14,7,0,5,6,3,3,4,0
"1510","2010-02-18",13,9,4,0,2,6,1,2,2,0
"1511","2010-02-19",21,12,8,1,4,6,2,5,3,1
"1512","2010-02-20",16,7,8,1,3,2,2,3,5,1
"1513","2010-02-21",17,8,6,3,5,3,0,1,5,3
"1514","2010-02-22",24,9,10,5,3,3,3,5,5,5
"1515","2010-02-23",21,11,7,3,5,2,4,3,4,3
"1516","2010-02-24",17,10,6,1,3,3,4,2,4,1
"1517","2010-02-25",17,6,9,2,2,2,2,2,7,2
"1518","2010-02-26",16,6,7,3,3,2,1,1,6,3
"1519","2010-02-27",23,16,6,1,3,8,5,3,3,1
"1520","2010-02-28",16,6,8,2,3,2,1,4,4,2
"1521","2010-03-01",24,14,6,4,8,5,1,2,4,4
"1522","2010-03-02",24,11,12,1,4,3,4,7,5,1
"1523","2010-03-03",24,14,8,2,5,4,5,6,2,2
"1524","2010-03-04",21,10,9,2,3,5,2,3,6,2
"1525","2010-03-05",24,11,11,2,6,3,2,6,5,2
"1526","2010-03-06",15,6,8,1,2,2,2,4,4,1
"1527","2010-03-07",26,11,12,3,5,4,2,8,4,3
"1528","2010-03-08",16,10,4,2,4,4,2,2,2,2
"1529","2010-03-09",23,11,10,2,7,2,2,7,3,2
"1530","2010-03-10",18,8,7,3,4,4,0,3,4,3
"1531","2010-03-11",15,9,6,0,6,2,1,4,2,0
"1532","2010-03-12",18,5,10,3,2,1,2,5,5,3
"1533","2010-03-13",25,14,8,3,5,5,4,3,5,3
"1534","2010-03-14",29,12,12,5,7,4,1,6,6,5
"1535","2010-03-15",28,17,10,1,6,5,6,3,7,1
"1536","2010-03-16",15,7,6,2,2,3,2,1,5,2
"1537","2010-03-17",26,15,10,1,6,7,2,3,7,1
"1538","2010-03-18",31,17,13,1,5,11,1,7,6,1
"1539","2010-03-19",11,7,3,1,5,2,0,0,3,1
"1540","2010-03-20",25,10,12,3,4,2,4,6,6,3
"1541","2010-03-21",20,11,5,4,5,4,2,3,2,4
"1542","2010-03-22",25,13,9,3,3,9,1,3,6,3
"1543","2010-03-23",23,14,8,1,6,5,3,5,3,1
"1544","2010-03-24",24,9,8,7,5,3,1,5,3,7
"1545","2010-03-25",18,10,5,3,6,3,1,4,1,3
"1546","2010-03-26",23,11,9,3,7,4,0,5,4,3
"1547","2010-03-27",25,10,12,3,4,3,3,6,6,3
"1548","2010-03-28",19,8,10,1,4,4,0,7,3,1
"1549","2010-03-29",33,15,14,4,7,8,0,8,6,4
"1550","2010-03-30",16,7,8,1,3,3,1,3,5,1
"1551","2010-03-31",20,11,8,1,3,7,1,3,5,1
"1552","2010-04-01",19,8,8,3,3,4,1,6,2,3
"1553","2010-04-02",22,8,10,4,4,1,3,7,3,4
"1554","2010-04-03",24,15,6,3,7,4,4,1,5,3
"1555","2010-04-04",25,11,10,4,4,5,2,5,5,4
"1556","2010-04-05",20,11,8,1,4,5,2,3,5,1
"1557","2010-04-06",25,12,11,2,6,3,3,5,6,2
"1558","2010-04-07",11,5,2,4,4,0,1,2,0,4
"1559","2010-04-08",18,9,9,0,4,4,1,5,4,0
"1560","2010-04-09",21,4,11,6,3,0,1,4,7,6
"1561","2010-04-10",19,10,8,1,2,5,3,6,2,1
"1562","2010-04-11",25,9,16,0,3,4,2,11,5,0
"1563","2010-04-12",23,7,14,2,3,3,1,6,8,2
"1564","2010-04-13",24,13,6,5,6,6,1,3,3,5
"1565","2010-04-14",23,14,9,0,5,5,4,3,6,0
"1566","2010-04-15",23,13,8,2,5,6,2,3,5,2
"1567","2010-04-16",16,7,7,2,2,2,3,5,2,2
"1568","2010-04-17",17,9,7,1,0,5,4,1,6,1
"1569","2010-04-18",21,15,6,0,6,5,4,3,3,0
"1570","2010-04-19",22,12,10,0,4,3,5,6,4,0
"1571","2010-04-20",17,9,5,3,2,4,3,2,3,3
"1572","2010-04-21",26,13,11,2,9,2,2,8,3,2
"1573","2010-04-22",24,9,13,2,2,3,4,5,8,2
"1574","2010-04-23",24,12,9,3,6,4,2,6,3,3
"1575","2010-04-24",22,14,7,1,9,3,2,6,1,1
"1576","2010-04-25",25,17,8,0,7,3,7,4,4,0
"1577","2010-04-26",23,14,9,0,3,10,1,4,5,0
"1578","2010-04-27",12,5,6,1,1,3,1,2,4,1
"1579","2010-04-28",20,4,12,4,1,2,1,4,8,4
"1580","2010-04-29",19,12,4,3,2,7,3,2,2,3
"1581","2010-04-30",22,12,10,0,2,8,2,5,5,0
"1582","2010-05-01",31,16,9,6,5,8,3,5,4,6
"1583","2010-05-02",15,10,5,0,5,5,0,2,3,0
"1584","2010-05-03",17,11,6,0,5,5,1,3,3,0
"1585","2010-05-04",22,10,8,4,3,6,1,4,4,4
"1586","2010-05-05",23,11,9,3,3,8,0,3,6,3
"1587","2010-05-06",29,19,9,1,5,8,6,7,2,1
"1588","2010-05-07",24,11,8,5,6,3,2,4,4,5
"1589","2010-05-08",15,12,2,1,5,4,3,2,0,1
"1590","2010-05-09",21,12,7,2,3,5,4,5,2,2
"1591","2010-05-10",19,9,6,4,5,1,3,3,3,4
"1592","2010-05-11",21,8,8,5,4,1,3,3,5,5
"1593","2010-05-12",24,12,10,2,5,4,3,3,7,2
"1594","2010-05-13",24,9,13,2,3,5,1,4,9,2
"1595","2010-05-14",19,13,5,1,7,3,3,4,1,1
"1596","2010-05-15",20,8,7,5,4,2,2,3,4,5
"1597","2010-05-16",29,13,13,3,4,7,2,6,7,3
"1598","2010-05-17",25,11,13,1,4,5,2,7,6,1
"1599","2010-05-18",19,10,7,2,2,7,1,1,6,2
"1600","2010-05-19",19,9,9,1,4,2,3,6,3,1
"1601","2010-05-20",25,11,13,1,5,5,1,7,6,1
"1602","2010-05-21",16,8,6,2,3,3,2,2,4,2
"1603","2010-05-22",20,7,12,1,3,2,2,5,7,1
"1604","2010-05-23",25,14,7,4,5,7,2,4,3,4
"1605","2010-05-24",19,11,7,1,4,4,3,3,4,1
"1606","2010-05-25",38,20,14,4,6,9,5,9,5,4
"1607","2010-05-26",20,12,7,1,6,5,1,5,2,1
"1608","2010-05-27",27,10,15,2,5,5,0,3,12,2
"1609","2010-05-28",22,11,6,5,5,3,3,2,4,5
"1610","2010-05-29",22,11,10,1,1,5,5,3,7,1
"1611","2010-05-30",19,10,7,2,6,2,2,3,4,2
"1612","2010-05-31",19,8,8,3,2,3,3,4,4,3
"1613","2010-06-01",21,8,10,3,3,1,4,5,5,3
"1614","2010-06-02",20,12,5,3,5,4,3,3,2,3
"1615","2010-06-03",25,10,15,0,5,2,3,11,4,0
"1616","2010-06-04",11,6,4,1,1,4,1,3,1,1
"1617","2010-06-05",23,8,10,5,2,5,1,5,5,5
"1618","2010-06-06",17,6,10,1,2,2,2,4,6,1
"1619","2010-06-07",28,14,12,2,6,8,0,7,5,2
"1620","2010-06-08",26,10,12,4,3,7,0,6,6,4
"1621","2010-06-09",25,13,9,3,7,3,3,4,5,3
"1622","2010-06-10",27,14,10,3,3,8,3,5,5,3
"1623","2010-06-11",25,18,5,2,6,10,2,2,3,2
"1624","2010-06-12",19,11,6,2,1,8,2,3,3,2
"1625","2010-06-13",20,9,7,4,4,4,1,4,3,4
"1626","2010-06-14",22,13,7,2,2,6,5,5,2,2
"1627","2010-06-15",29,16,13,0,6,6,4,11,2,0
"1628","2010-06-16",18,9,8,1,5,3,1,3,5,1
"1629","2010-06-17",21,10,7,4,5,3,2,2,5,4
"1630","2010-06-18",22,10,11,1,2,5,3,8,3,1
"1631","2010-06-19",22,10,11,1,2,6,2,4,7,1
"1632","2010-06-20",18,10,8,0,5,3,2,5,3,0
"1633","2010-06-21",20,11,7,2,7,2,2,2,5,2
"1634","2010-06-22",23,11,8,4,2,6,3,0,8,4
"1635","2010-06-23",24,11,12,1,2,8,1,8,4,1
"1636","2010-06-24",17,8,5,4,4,3,1,3,2,4
"1637","2010-06-25",21,8,11,2,5,1,2,8,3,2
"1638","2010-06-26",16,7,7,2,2,4,1,3,4,2
"1639","2010-06-27",23,11,10,2,3,4,4,5,5,2
